category,display_name,bibtex_key,tsb_ad_u_table2,tsb_ad_m_table3,value_provenance
StatML,(Sub)-PCA / PCA,aggarwal2017outlier,yes,yes,PaAno Tables 2 and 3 (paper-reported)
StatML,KShapeAD,paparrizos2017fast,yes,no,PaAno Table 2 (paper-reported)
StatML,DLinear,zeng2023transformers,yes,yes,PaAno Tables 2 and 3 (paper-reported)
StatML,NLinear,zeng2023transformers,yes,yes,PaAno Tables 2 and 3 (paper-reported)
StatML,KMeansAD,yairi2001fault,no,yes,PaAno Table 3 (paper-reported)
Neural,DeepAnT,munir2019deepant,yes,yes,PaAno Tables 2 and 3 (paper-reported)
Neural,USAD,audibert2020usad,yes,no,PaAno Table 2 (paper-reported)
Neural,OmniAnomaly,su2019omnianomaly,no,yes,PaAno Table 3 (paper-reported)
Neural,TimesNet,wu2023timesnet,yes,yes,PaAno Tables 2 and 3 (paper-reported)
Neural,FITS,xu2024fits,yes,yes,PaAno Tables 2 and 3 (paper-reported)
Neural,DADA,shentu2025towards,yes,yes,PaAno Tables 2 and 3 (paper-reported)
Neural,KAN-AD,pmlr-v267-zhou25u,yes,yes,PaAno Tables 2 and 3 (paper-reported)
Transformer,Anomaly Transformer,xu2022anomalytransformer,yes,yes,PaAno Tables 2 and 3 (paper-reported)
Transformer,DCdetector,yang2023dcdetector,yes,yes,PaAno Tables 2 and 3 (paper-reported)
Transformer,Lag-Llama,rasul2023lagllama,yes,no,PaAno Table 2 (paper-reported)
Transformer,OFA,zhou2023onefitsall,yes,yes,PaAno Tables 2 and 3 (paper-reported)
Transformer,PatchTST,nie2023patchtst,yes,yes,PaAno Tables 2 and 3 (paper-reported)
Transformer,iTransformer,liu2024itransformer,yes,yes,PaAno Tables 2 and 3 (paper-reported)
Foundation,MOMENT-FT / MOMENT-ZS,pmlr-v235-goswami24a,yes,no,PaAno Table 2 (paper-reported)
Foundation,TimesFM,pmlr-v235-das24c,yes,no,PaAno Table 2 (paper-reported)
Transformer,CATCH,wu2025catch,no,yes,PaAno Table 3 (paper-reported)
Baseline,PaAno,park2026paano,yes,yes,PaAno Tables 2 and 3 (paper-reported)
